Spanish,English
bella,Pretty
quedo,I Remain
encontraste,By Contrast
voluntad,Will
varias,Several
teoría,Theory
roja,Redo
cuento,Story
escenario,Stage
diario,Daily
propiedad,Property
agujero,Hole
aspecto,Appearance
campamento,Camp
descansar,Rest
matarme,Match
metido,Tuckedo
quiso,Quoe
ángel,Angel
enviar,Send
impresionante,Awesome
proceso,Process
intentado,Tried
mio,Own
fuente,Source
alcalde,Mayor
ocurrido,Occurred
malos,Badly
carretera,Road
desapareció,He Disappeared
desayuno,Breakfast
débil,Weak
roma,Rome
sabido,Well-Known
comienza,Starts
tambien,Too
intentarlo,Try At It
miembro,Member
perdiendo,Losing
hayan,Have
fueras,Four
resultados,Results
mata,Bush
sr,Mr
valiente,Brave
deber,Should
pecho,Chest
gustó,Taste
oyes,Hear
periódico,Newspaper
mami,Mommy
piensan,Think
cansada,Tired
limpiar,Clean Up
crear,Create
explicar,Explain
robado,Stolen
resolver,Sort Out
maté,Mate
guapo,Handsome
continuar,Continue
funcionar,Function
primo,Cousin
manejar,Handle
primeros,First
acto,Act
poniendo,Putting Up
números,Numbers
kilómetros,Kilometres
llevará,Carry
niñas,Girls
premio,Prize
harías,Would You Do?
inútil,Useless
domingo,Sunday
sensación,Sensation
tercera,Third
agentes,Agents
disculpas,Apologies
antiguo,Ancient
guapa,Beautiful
asustado,Afraid
puedan,Can
genio,Genius
recuperar,Get It Back
creemos,We Believe
lengua,Tongue
ladrón,Thief
intenté,I Tried
examen,Exam
deprisa,Depreciation
montaña,Mountain
durmiendo,Sleeping
disparar,Shoot
entrenador,Coach
queso,Cheese
entero,Whole
papeles,Papers
pones,You Put
modelo,Model
fútbol,Soccer
detener,Stop
lados,Sides
miembros,Members
sábado,Saturday
pongo,Put
mataron,Killed
vuelvas,Vuelve
talento,Talent
descubrir,To Find Out
gordo,Fat
tribunal,Court
toque,I Touched
hables,Talks About
conocemos,We Know
haberme,Have
dispuesto,Willing
tamaño,Size
dejen,Leave
maravillosa,Wonderful
invitado,Invited
importantes,Important
derechos,Rights
declaración,Statement
claramente,Clearly
pacientes,Patients
pérdida,Lost
iban,Were Going
pudiste,You Could
profundo,Deep
aeropuerto,Airport
consigue,Get
olvidar,Forget
gloria,Glory
olvides,Forget About
volviendo,Getting Back
fué,It Was
llamaba,He Called
tendrán,They Will Have
instituto,Institute
disparo,Shooting
encuentras,You Find
querían,They Wanted
hablemos,Let'S Talk
dia,Day
enviado,Sent
pertenece,Belong
sienta,Sit
pensó,Thought
cadáver,Corpse
gracia,Funny
doctora,Doctor
escuchen,Listen
amante,Lover
temporada,Season
cuerpos,Bodies
amigas,Friends
preguntaba,I Asked
